GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
494,04;99,2;126,4;10,06;102,61;9,73;96,62;13,75;12,54;113,94;142,79;19,55;337,99;186,1;195,33;16,83;14,56;;15,79;12,85;9,81;108,59;9,881
494,09;99,22;125,53;10,07;102,94;9,82;97,05;13,81;12,65;115,88;145,74;20,24;347,35;186,85;195,91;17,03;14,67;;15,801;13,28;9,81;108,3;9,9
494,14;99,22;127,41;10,08;102,98;9,87;96,91;13,81;12,84;117,3;143,65;20,75;348,29;188,44;196,74;16,44;14,42;;15,876;13,49;9,92;108,79;9,943
494,21;99,23;127,26;10,08;103,3;9,92;97,63;13,88;12,8;118,93;141,38;22,01;341,94;189,49;197,11;16,6;14,48;;16,103;14,03;9,87;108,73;9,995
494,26;99,23;127,5;10,09;103,32;9,91;97,74;13,92;12,72;117,68;140,76;21,91;337,89;187,14;194,77;16,55;14,38;;15,899;13,92;9,87;108,25;9,988
494,31;99,24;127,59;10,1;103,55;9,95;98,44;13,93;12,64;116,53;139,48;21,41;336,23;185,36;193,45;16,62;14,38;;15,766;13,73;9,92;107,33;9,98
494,35;99,26;127,69;10,1;103,36;9,99;98,43;13,9;12,59;118,64;138,99;21,81;333,99;186;193,05;16,95;14,68;;15,723;13,96;10,02;106,86;10,021
494,4;99,26;127,48;10,09;103,33;10;98,53;13,85;12,36;116,73;136,78;21,25;325,6;180,36;189,21;16,75;14,63;;15,213;13,71;9,95;106,39;10,014
494,46;99,31;127,7;10,09;103,35;10;98,16;13,79;12,83;121,54;142,84;21,47;330,8;185,91;194,62;16,99;14,79;;15,982;14,16;10,17;107,38;10,051
494,51;99,34;127,35;10,11;103,57;10;97,94;13,84;12,9;122,31;144,14;22,62;337,15;188;196,51;17,23;14,84;;15,841;14,44;10,12;107,63;10,062
494,55;99,36;126,27;10,11;103,59;10;98,08;13,85;12,63;122,92;143,56;22,22;336,39;188,13;196,83;17,07;14,88;;15,649;14,31;10,11;107,55;10,051
494,61;99,36;125,46;10,12;103,83;10;97,98;13,8;12,49;122,09;141,6;22,5;331,66;186,96;195,59;17,19;14,6;;15,65;14,42;10,02;107,01;10,043
494,66;99,38;123,93;10,1;103,66;10;97,73;13,79;12,31;119,71;139,47;22,05;324,5;182,9;190,45;17,36;14,49;;15,69;14,03;10,01;106,97;10,027
494,71;99,38;124,26;10,11;103,65;10;97,02;13,77;12,23;119,16;140,23;22,01;327,23;179,8;186,67;17,29;14,58;;15,529;14;9,99;107,88;10,023
494,75;99,39;125,07;10,12;103,93;10;97,65;13,83;12,16;117,77;138,67;21,45;322,66;178,62;185,5;16,93;14,49;;15,16;13,74;9,83;107,48;10,005
494,8;99,39;125,51;10,13;104,05;10;97,25;13,85;11,96;115,12;136,92;21,24;320,9;175,65;182,97;16,75;14,41;;15,11;13,58;9,72;107,52;9,994
494,85;99,41;125,26;10,13;104,15;10;97,51;13,9;11,86;114,12;133,45;20,91;310,87;173,57;181,53;16,88;14,23;;14,938;13,53;9,7;107,41;9,977
494,9;99,42;123,55;10,15;104,27;10;98,13;14,04;12,1;116,91;133,8;21,91;310,91;178,35;185,09;17,17;14,36;;15,113;14,02;9,67;107,01;10,031
494,95;99,43;123,5;10,16;104,43;10;98,36;14,04;12,1;117,1;133,85;22,06;309,86;177,53;184,55;17,17;14,39;;15,114;14,03;9,67;106,72;10,046
495;99,42;122,95;10,16;104,47;10;98,51;13,99;12,24;116,81;133,77;22,16;308,83;177,32;185,16;17,52;14,38;;15,18;14,07;9,64;106,2;10,023
495,04;99,43;122,44;10,16;104,49;10;98,6;14,01;12,36;117,67;135,82;22,13;314,23;179,65;187,85;17,58;14,42;;15,303;14,16;9,63;105,93;10,015
495,09;99,43;123,53;10,16;104,42;10;98,58;14;12,14;116,66;135,23;21,84;315,4;177,57;186,42;17,17;14,17;;15,208;13,93;9,67;105,89;9,979
495,14;99,44;124,31;10,17;104,45;10;98,98;14,05;12,08;115,24;132,97;21,56;311,62;176,57;186,42;16,84;14,03;;15,242;13,6;9,72;105,55;9,971
495,18;99,44;123,78;10,17;104,55;10;98,64;13,99;12,33;116,53;137,65;21,57;318,62;178,1;188,04;17,4;14,37;;15,341;13,82;9,72;106,09;9,978
495,24;99,45;122,74;10,17;104,55;10;99,07;14,03;12,31;115,44;134,81;21,72;307,92;176,53;185,44;17,56;14,37;;15,153;13,8;9,7;105,49;9,973
495,29;99,45;122,29;10,16;104,54;10;98,72;13,98;12,28;115,16;135,64;21,57;309,47;173,77;182,57;17,38;14,14;;15,16;13,64;9,65;105,97;9,954
495,33;99,45;123,21;10,15;104,51;10;98,7;13,95;12,16;114,81;134;21,38;306,8;170,49;180,63;17,81;14,43;;15,087;13,53;9,67;105,48;9,957
495,38;99,46;122,88;10,15;104,43;10;98,37;13,94;12,16;114,51;133,87;21,12;308,03;170,13;181,19;18;14,51;;15,163;13,39;9,67;105,48;9,945
